"sta_seq","collect_date","chemparameter","value_field","value_duplicate","FLAG: value_field < mdl BEFORE conversion","FLAG: value_duplicate < mdl BEFORE conversion","field_precision_rate","Percent_Diff","mdl","FLAG: value_field < mdl","FLAG: Percent_Diff > RPD"
14221,2011-06-30,"Ammonia",0.025,0.043,FALSE,FALSE,"30 %","52.9411764705882 %",0.003,FALSE,TRUE
14444,2011-07-13,"Ammonia",0.029,0.024,FALSE,FALSE,"30 %","18.8679245283019 %",0.003,FALSE,FALSE
14445,2011-07-13,"Ammonia",0.029,0.024,FALSE,FALSE,"30 %","18.8679245283019 %",0.003,FALSE,FALSE
16387,2011-07-19,"Ammonia",0.014,0.017,FALSE,FALSE,"30 %","19.3548387096774 %",0.003,FALSE,FALSE
15571,2011-07-28,"Ammonia",0.01,0.009,FALSE,FALSE,"30 %","10.5263157894737 %",0.003,FALSE,FALSE
14711,2011-07-29,"Ammonia",0.069,0.075,FALSE,FALSE,"30 %","8.33333333333332 %",0.003,FALSE,FALSE
16110,2011-07-29,"Ammonia",0.021,0.009,FALSE,FALSE,"30 %","80 %",0.003,FALSE,TRUE
14206,2011-08-26,"Ammonia",0.022,0.024,FALSE,FALSE,"30 %","8.69565217391305 %",0.003,FALSE,FALSE
16119,2011-10-12,"Ammonia",0.007,0.01,FALSE,FALSE,"30 %","35.2941176470588 %",0.003,FALSE,TRUE
14226,2011-10-17,"Ammonia",0.026,0.038,FALSE,FALSE,"30 %","37.5 %",0.003,FALSE,TRUE
16325,2011-10-17,"Ammonia",0.016,0.019,FALSE,FALSE,"30 %","17.1428571428571 %",0.003,FALSE,FALSE
15087,2011-10-18,"Ammonia",0.016,0.006,FALSE,FALSE,"30 %","90.9090909090909 %",0.003,FALSE,TRUE
14247,2011-10-21,"Ammonia",0.006,0.009,FALSE,FALSE,"30 %","40 %",0.003,FALSE,TRUE
14316,2011-10-26,"Ammonia",0.03,0.023,FALSE,FALSE,"30 %","26.4150943396226 %",0.003,FALSE,FALSE
14612,2011-11-07,"Ammonia",0.009,0.009,FALSE,FALSE,"30 %","0 %",0.003,FALSE,FALSE
15240,2011-11-10,"Ammonia",0.012,0.016,FALSE,FALSE,"30 %","28.5714285714286 %",0.003,FALSE,FALSE
15516,2011-11-10,"Ammonia",0.015,0.009,FALSE,FALSE,"30 %","50 %",0.003,FALSE,TRUE
14317,2011-11-14,"Ammonia",0.045,0.019,FALSE,FALSE,"30 %","81.25 %",0.003,FALSE,TRUE
14792,2011-11-14,"Ammonia",0.015,0.015,FALSE,FALSE,"30 %","0 %",0.003,FALSE,FALSE
17747,2011-11-14,"Ammonia",0.045,0.019,FALSE,FALSE,"30 %","81.25 %",0.003,FALSE,TRUE
15556,2011-11-15,"Ammonia",0.018,0.017,FALSE,FALSE,"30 %","5.7142857142857 %",0.003,FALSE,FALSE
14740,2011-11-16,"Ammonia",0.063,0.008,FALSE,FALSE,"30 %","154.929577464789 %",0.003,FALSE,TRUE
14436,2012-06-12,"Ammonia",0.022,0.022,FALSE,FALSE,"30 %","0 %",0.003,FALSE,FALSE
18215,2012-06-21,"Ammonia",0.033,0.03,FALSE,FALSE,"30 %","9.52380952380953 %",0.003,FALSE,FALSE
16122,2012-06-22,"Ammonia",0.007,0.007,FALSE,FALSE,"30 %","0 %",0.003,FALSE,FALSE
14263,2012-06-29,"Ammonia",0.014,0.014,FALSE,FALSE,"30 %","0 %",0.003,FALSE,FALSE
15703,2012-07-02,"Ammonia",0.018,0.009,FALSE,FALSE,"30 %","66.6666666666667 %",0.003,FALSE,TRUE
