"lab_accession","sta_seq","chemparameter","collect_date","Milli_Q","MDL","FLAG: milli-Q NULL BEFORE conversion","lab_precision_rate","Percent_Diff","FLAG: Percent_Diff > RPD"
"110151-008",14302,"Ammonia",2011-06-27,0.003,0.003,FALSE,"15 %","0 %",FALSE
"110167-001",14302,"Ammonia",2011-07-11,0.007,0.003,FALSE,"15 %","80 %",TRUE
"110169-008",14302,"Ammonia",2011-07-13,0.004,0.003,FALSE,"15 %","28.5714285714286 %",TRUE
"110170-007",14302,"Ammonia",2011-07-20,0.008,0.003,FALSE,"15 %","90.9090909090909 %",TRUE
"110184-001",14302,"Ammonia",2011-07-27,0.005,0.003,FALSE,"15 %","50 %",TRUE
"110198-008",14302,"Ammonia",2011-08-17,0.011,0.003,FALSE,"15 %","114.285714285714 %",TRUE
"110274-013",14302,"Ammonia",2011-11-08,0.006,0.003,FALSE,"15 %","66.6666666666667 %",TRUE
"110275-010",14302,"Ammonia",2011-11-09,0.005,0.003,FALSE,"15 %","50 %",TRUE
"110288-007",14302,"Ammonia",2011-11-15,0.003,0.003,TRUE,"15 %","0 %",FALSE
"110288-019",14302,"Ammonia",2011-11-21,0.005,0.003,FALSE,"15 %","50 %",TRUE
"120135-001",14302,"Ammonia",2012-06-05,0.013,0.003,FALSE,"15 %","125 %",TRUE
"120152-001",14302,"Ammonia",2012-06-13,0.003,0.003,FALSE,"15 %","0 %",FALSE
"120143-014",14302,"Ammonia",2012-06-20,0.032,0.003,FALSE,"15 %","165.714285714286 %",TRUE
"120144-015",14302,"Ammonia",2012-06-20,0.008,0.003,FALSE,"15 %","90.9090909090909 %",TRUE
"120151-001",14302,"Ammonia",2012-06-22,0.004,0.003,FALSE,"15 %","28.5714285714286 %",TRUE
"120161-001",14302,"Ammonia",2012-07-02,0.007,0.003,FALSE,"15 %","80 %",TRUE
"120195-001",14302,"Ammonia",2012-07-13,0.003,0.003,FALSE,"15 %","0 %",FALSE
"120243-008",14302,"Ammonia",2012-09-19,0.019,0.003,FALSE,"15 %","145.454545454545 %",TRUE
"120251-004",14302,"Ammonia",2012-09-20,0.006,0.003,FALSE,"15 %","66.6666666666667 %",TRUE
"120249-005",14302,"Ammonia",2012-09-21,0.005,0.003,FALSE,"15 %","50 %",TRUE
"120252-007",14302,"Ammonia",2012-09-26,0.004,0.003,FALSE,"15 %","28.5714285714286 %",TRUE
"120264-001",14302,"Ammonia",2012-10-01,0.003,0.003,TRUE,"15 %","0 %",FALSE
"120275-005",14302,"Ammonia",2012-10-11,0.003,0.003,TRUE,"15 %","0 %",FALSE
"120289-001",14302,"Ammonia",2012-10-24,0.003,0.003,TRUE,"15 %","0 %",FALSE
"130141-007",14302,"Ammonia",2013-04-24,0.01,0.003,FALSE,"15 %","107.692307692308 %",TRUE
"130204-001",14302,"Ammonia",2013-06-04,0.003,0.003,TRUE,"15 %","0 %",FALSE
"130233-001",14302,"Ammonia",2013-06-10,0.003,0.003,TRUE,"15 %","0 %",FALSE
"130254-001",14302,"Ammonia",2013-07-03,0.004,0.003,FALSE,"15 %","28.5714285714286 %",TRUE
"130303-011",14302,"Ammonia",2013-07-30,0.003,0.003,FALSE,"15 %","0 %",FALSE
"130305-001",14302,"Ammonia",2013-07-30,0.003,0.003,TRUE,"15 %","0 %",FALSE
"130303-017",14302,"Ammonia",2013-08-06,0.007,0.003,FALSE,"15 %","80 %",TRUE
"130323-005",14302,"Ammonia",2013-08-13,0.008,0.003,FALSE,"15 %","90.9090909090909 %",TRUE
