"LabID","ammonia","nitrate","nitrite","Sum.of.Dissolved","tNitro","FLAG..D_sum...T_sum","Ortho.Phosphate","Total.Phosphorus","FLAG..Ortho...T_Phos"
"110119",0.062,0.679,0.015,0.756,1.314,FALSE,0.018,0.075,FALSE
"110123",0.104,5.609,0.038,5.751,8.625,FALSE,0.102,0.223,FALSE
"110131",0.143,3.281,0.038,3.462,4.867,FALSE,0.075,0.223,FALSE
"110151",0.003,0.002,0.003,0.008,0.008,FALSE,0.003,0.003,FALSE
"110166",0.476,6.954,0.029,7.459,9.512,FALSE,0.199,0.423,FALSE
"110167",0.262,2.53,0.018,2.81,3.59,FALSE,0.845,0.939,FALSE
"110168",0.547,4.063,0.058,4.668,8.627,FALSE,0.294,0.638,FALSE
"110169",0.004,0,0,0.004,0.006,FALSE,0,0,FALSE
"110170",0.008,0,0,0.008,0.006,TRUE,0,0,FALSE
"110171",0.413,4.124,0.044,4.581,6.905,FALSE,0.184,0.408,FALSE
"110173",0.233,2.493,0.009,2.735,3.963,FALSE,0.062,0.147,FALSE
"110183",0.244,6.687,0.031,6.962,8.107,FALSE,0.695,0.912,FALSE
"110184",0.206,5.303,0.027,5.536,7.531,FALSE,0.091,0.319,FALSE
"110198",0.011,0,0,0.011,0.005,TRUE,0,0,FALSE
"110213",0.387,9.04,0.029,9.456,12.723,FALSE,0.763,1.051,FALSE
"110246",0.196,3.351,0.029,3.576,5.231,FALSE,0.111,0.197,FALSE
"110249",0.329,11.499,0.069,11.897,16.157,FALSE,0.273,0.437,FALSE
"110252",0.182,2.649,0.028,2.859,5.307,FALSE,0.181,0.296,FALSE
"110253",0.066,1.921,0.009,1.996,2.941,FALSE,0.064,0.093,FALSE
"110261",0.746,8.224,0.213,9.183,12.031,FALSE,0.436,0.591,FALSE
"110274",0.296,5.686,0.204,6.186,7.893,FALSE,0.274,0.373,FALSE
"110275",0.233,4.697,0.159,5.089,6.556,FALSE,0.427,0.475,FALSE
"110279",0.435,7.853,0.252,8.54,8.661,FALSE,0.504,0.339,TRUE
"110288",0.504,7.097,0.135,7.736,11.244,FALSE,0.967,1.375,FALSE
"120135",0.615,12.992,0.118,13.725,16.154,FALSE,1.205,1.533,FALSE
"120136",0.244,0.865,0.004,1.113,1.858,FALSE,0.068,0.01,TRUE
"120143",0.356,3.805,0.036,4.197,6.074,FALSE,0.1,0.156,FALSE
"120144",0.517,2.172,0.039,2.728,5.473,FALSE,0.22,0.489,FALSE
"120151",0.07,1.888,0.01,1.968,2.496,FALSE,0.026,0.114,FALSE
"120152",0.313,3.052,0.074,3.439,4.798,FALSE,0.084,0.421,FALSE
