ID,sta_seq,collect_date,chemparameter,value,uom,station_type,duplicate,name,ylat,xlong,sbasn,major,mbasn
1,14126,10/9/2013,Total Organic Carbon,3.6,ppm,River/Stream,0,Aspetuck River,41.1864,-73.3429,7202,Southwest Coast,7
2,14126,10/9/2013,Ammonia,0.004,ppm,River/Stream,0,Aspetuck River,41.1864,-73.3429,7202,Southwest Coast,7
3,14126,10/9/2013,Nitrate,0.061,ppm,River/Stream,0,Aspetuck River,41.1864,-73.3429,7202,Southwest Coast,7
4,14126,10/9/2013,Total Phosphorus,0.023,ppm,River/Stream,0,Aspetuck River,41.1864,-73.3429,7202,Southwest Coast,7
5,14126,10/9/2013,Nitrite,NA,ppm,River/Stream,0,Aspetuck River,41.1864,-73.3429,7202,Southwest Coast,7
6,14126,10/9/2013,Turbidity,0.6,None,River/Stream,0,Aspetuck River,41.1864,-73.3429,7202,Southwest Coast,7
7,14126,10/9/2013,Hardness,53.7,ppm,River/Stream,0,Aspetuck River,41.1864,-73.3429,7202,Southwest Coast,7
8,14126,10/9/2013,Total Nitrogen,0.262,ppm,River/Stream,0,Aspetuck River,41.1864,-73.3429,7202,Southwest Coast,7
9,14126,10/9/2013,Silica,4.955,ppm,River/Stream,0,Aspetuck River,41.1864,-73.3429,7202,Southwest Coast,7
10,14126,10/9/2013,Total Solids,106,ppm,River/Stream,0,Aspetuck River,41.1864,-73.3429,7202,Southwest Coast,7
11,14126,10/9/2013,Nitrate/Nitrite,0.061,ppm,River/Stream,0,Aspetuck River,41.1864,-73.3429,7202,Southwest Coast,7
12,14126,10/9/2013,Chloride,25.6,ppm,River/Stream,0,Aspetuck River,41.1864,-73.3429,7202,Southwest Coast,7
13,14126,10/9/2013,Magnesium,4240,ppb,River/Stream,0,Aspetuck River,41.1864,-73.3429,7202,Southwest Coast,7
14,14126,10/9/2013,Alkalinity,41,ppm,River/Stream,0,Aspetuck River,41.1864,-73.3429,7202,Southwest Coast,7
15,14126,10/9/2013,Total Suspended Solids,NA,ppm,River/Stream,0,Aspetuck River,41.1864,-73.3429,7202,Southwest Coast,7
16,14126,10/9/2013,Calcium,14500,ppb,River/Stream,0,Aspetuck River,41.1864,-73.3429,7202,Southwest Coast,7
17,14126,10/9/2013,pH,7.3,None,River/Stream,0,Aspetuck River,41.1864,-73.3429,7202,Southwest Coast,7
18,14126,10/9/2013,Ortho Phosphate,0.01,ppm,River/Stream,0,Aspetuck River,41.1864,-73.3429,7202,Southwest Coast,7
19,14128,11/9/2011,Alkalinity,31,ppm,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
20,14128,11/9/2011,Total Kjeldahl Nitrogen,0.378,ppm,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
21,14128,11/9/2011,Silica,4.405,ppm,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
22,14128,7/8/2011,Nitrate,0.082,ppm,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
23,14128,7/8/2011,Ortho Phosphate,0.022,ppm,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
24,14128,11/9/2011,Total Phosphorus,0.032,ppm,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
25,14128,7/8/2011,Magnesium,4960,ppb,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
26,14128,7/8/2011,Calcium,11800,ppb,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
27,14128,7/8/2011,Turbidity,2.65,None,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
28,14128,7/8/2011,Total Solids,110,ppm,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
29,14128,11/9/2011,Calcium,8900,ppb,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
30,14128,7/8/2011,Hardness,49.9,ppm,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
31,14128,11/9/2011,Ammonia,0.021,ppm,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
32,14128,11/9/2011,Total Suspended Solids,NA,ppm,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
33,14128,11/9/2011,Chloride,14.8,ppm,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
34,14128,11/9/2011,Nitrate/Nitrite,0.037,ppm,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
35,14128,7/8/2011,Ammonia,0.031,ppm,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
36,14128,7/8/2011,Chloride,21,ppm,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
37,14128,11/9/2011,Turbidity,1.8,None,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
38,14128,7/8/2011,Alkalinity,39,ppm,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
39,14128,7/8/2011,Nitrate/Nitrite,0.082,ppm,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
40,14128,11/9/2011,Organic Nitrogen,0.357,ppm,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
41,14128,11/9/2011,Total Solids,76,ppm,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
42,14128,11/9/2011,Hardness,37.6,ppm,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
43,14128,11/9/2011,Total Nitrogen,0.415,ppm,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
44,14128,7/8/2011,Total Nitrogen,0.46,ppm,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
45,14128,11/9/2011,Ortho Phosphate,0.038,ppm,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
46,14128,7/8/2011,Total Suspended Solids,NA,ppm,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
47,14128,7/8/2011,Total Phosphorus,0.039,ppm,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
48,14128,7/8/2011,Total Kjeldahl Nitrogen,0.378,ppm,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
49,14128,7/8/2011,Organic Nitrogen,0.347,ppm,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
50,14128,11/9/2011,Magnesium,3740,ppb,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
51,14128,7/8/2011,Nitrite,NA,ppm,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
