SBAS_NO,SUBREGION,RBAS_NO,REGIONAL,MBAS_NO,MAJOR
1000,Pawcatuck River,10,Pawcatuck Main Stem,1,Pawcatuck
1001,Wyassup Brook,10,Pawcatuck Main Stem,1,Pawcatuck
1002,Green Fall River,10,Pawcatuck Main Stem,1,Pawcatuck
1003,Ashaway River,10,Pawcatuck Main Stem,1,Pawcatuck
1004,Shunock River,10,Pawcatuck Main Stem,1,Pawcatuck
1100,Wood River,11,Wood,1,Pawcatuck
1101,Brushy Brook,11,Wood,1,Pawcatuck
2000,Southeast Shoreline,20,Southeast Shoreline,2,Southeast Coast
2101,Anguilla Brook,21,Southeast Eastern Complex,2,Southeast Coast
2102,Copps Brook,21,Southeast Eastern Complex,2,Southeast Coast
2103,Williams Brook,21,Southeast Eastern Complex,2,Southeast Coast
2104,Whitford Brook,21,Southeast Eastern Complex,2,Southeast Coast
2105,Haleys Brook,21,Southeast Eastern Complex,2,Southeast Coast
2106,Mystic River,21,Southeast Eastern Complex,2,Southeast Coast
2107,Great Brook,21,Southeast Eastern Complex,2,Southeast Coast
2201,Jordan Brook,22,Southeast Western Complex,2,Southeast Coast
2202,Latimer Brook,22,Southeast Western Complex,2,Southeast Coast
2203,Oil Mill Brook,22,Southeast Western Complex,2,Southeast Coast
2204,Niantic River,22,Southeast Western Complex,2,Southeast Coast
2205,Pattagansett River,22,Southeast Western Complex,2,Southeast Coast
2206,Bride Brook,22,Southeast Western Complex,2,Southeast Coast
2207,Fourmile River,22,Southeast Western Complex,2,Southeast Coast
3000,Thames River,30,Thames Main Stem,3,Thames
3001,Trading Cove Brook,30,Thames Main Stem,3,Thames
3002,Shewville Brook,30,Thames Main Stem,3,Thames
3003,Poquetanuck Brook,30,Thames Main Stem,3,Thames
3004,Oxoboxo Brook,30,Thames Main Stem,3,Thames
3005,Stony Brook,30,Thames Main Stem,3,Thames
3006,Hunts Brook,30,Thames Main Stem,3,Thames
3100,Willimantic River,31,Willimantic,3,Thames
3101,Edson Brook,31,Willimantic,3,Thames
3102,Middle River,31,Willimantic,3,Thames
3103,Furnace Brook,31,Willimantic,3,Thames
3104,Roaring Brook,31,Willimantic,3,Thames
3105,Mill Brook,31,Willimantic,3,Thames
3106,Skungamaug River,31,Willimantic,3,Thames
3107,Burnap Brook,31,Willimantic,3,Thames
3108,Hop River,31,Willimantic,3,Thames
3109,Giffords Brook,31,Willimantic,3,Thames
3110,Tenmile River,31,Willimantic,3,Thames
3200,Natchaug River,32,Natchaug,3,Thames
3201,Bungee Brook,32,Natchaug,3,Thames
3202,Still River,32,Natchaug,3,Thames
3203,Bigelow Brook,32,Natchaug,3,Thames
3204,Stonehouse Brook,32,Natchaug,3,Thames
3205,Squaw Hollow Brook,32,Natchaug,3,Thames
3206,Mount Hope River,32,Natchaug,3,Thames
3207,Fenton River,32,Natchaug,3,Thames
3208,Sawmill Brook,32,Natchaug,3,Thames
3300,French River,33,French,3,Thames
3301,Mill Brook,33,French,3,Thames
3400,Fivemile River,34,Fivemile,3,Thames
3401,Rocky Brook,34,Fivemile,3,Thames
3402,Mary Brown Brook,34,Fivemile,3,Thames
3403,Cady Brook,34,Fivemile,3,Thames
3404,Whetstone Brook,34,Fivemile,3,Thames
3500,Moosup River,35,Moosup,3,Thames
3501,Quanduck Brook,35,Moosup,3,Thames
3502,Snake Meadow Brook,35,Moosup,3,Thames
3503,Ekonk Brook,35,Moosup,3,Thames
3600,Pachaug River,36,Pachaug,3,Thames
3601,Great Meadow Brook,36,Pachaug,3,Thames
3602,Mount Misery Brook,36,Pachaug,3,Thames
3603,Denison Brook,36,Pachaug,3,Thames
3604,Myron Kinney Brook,36,Pachaug,3,Thames
3605,Billings Brook,36,Pachaug,3,Thames
3700,Quinebaug River,37,Quinebaug,3,Thames
3701,Hamilton Reservoir Brook,37,Quinebaug,3,Thames
3702,Breakneck Brook,37,Quinebaug,3,Thames
3703,Hatchet Brook,37,Quinebaug,3,Thames
3704,Cohasse Brook,37,Quinebaug,3,Thames
3705,Lebanon Brook,37,Quinebaug,3,Thames
3706,English Neighborhood Brook,37,Quinebaug,3,Thames
3707,Mill Brook,37,Quinebaug,3,Thames
3708,Little River,37,Quinebaug,3,Thames
3709,Wappoquia Brook,37,Quinebaug,3,Thames
3710,Mashamoquet Brook,37,Quinebaug,3,Thames
3711,Blackwell Brook,37,Quinebaug,3,Thames
3712,Fry Brook,37,Quinebaug,3,Thames
3713,Mill Brook,37,Quinebaug,3,Thames
3714,Kitt Brook,37,Quinebaug,3,Thames
3715,Cory Brook,37,Quinebaug,3,Thames
3716,Broad Brook,37,Quinebaug,3,Thames
3717,Choate Brook,37,Quinebaug,3,Thames
3800,Shetucket River,38,Shetucket,3,Thames
3801,Indian Hollow Brook,38,Shetucket,3,Thames
3802,Beaver Brook,38,Shetucket,3,Thames
3803,Merrick Brook,38,Shetucket,3,Thames
3804,Beaver Brook,38,Shetucket,3,Thames
3805,Little River,38,Shetucket,3,Thames
3900,Yantic River,39,Yantic,3,Thames
3901,Exeter Brook,39,Yantic,3,Thames
3902,Bartlett Brook,39,Yantic,3,Thames
3903,Sherman Brook,39,Yantic,3,Thames
3904,Deep River,39,Yantic,3,Thames
