STA_SEQ,Lab_Accession,Field_Activity_Date,ChemParameter,Result_Value,Result_UOM,Rslt_Det_Cond,Method_Det_Limit,Activity_Type,Activity_Name,Station_Type,Duplicate
16124,110119-001,6/1/2011,Magnesium,7240,ppb,,,,,River/Stream,0
16124,110119-001,6/1/2011,Nitrate/Nitrite,0.048,ppm,,,,,River/Stream,0
16124,110119-001,6/1/2011,Nitrite,0.003,ppm,,,,,River/Stream,0
16124,110119-001,6/1/2011,Nitrate,0.045,ppm,,,,,River/Stream,0
16124,110119-001,6/1/2011,Ammonia,0.004,ppm,,,,,River/Stream,0
16124,110119-001,6/1/2011,Calcium,17300,ppb,,,,,River/Stream,0
16124,110119-001,6/1/2011,Hardness,72.9,ppm,,,,,River/Stream,0
16124,110119-001,6/1/2011,Organic Nitrogen,0.169,ppm,,,,,River/Stream,0
16124,110119-001,6/1/2011,Ortho Phosphate,0.007,ppm,,,,,River/Stream,0
16124,110119-001,6/1/2011,pH,7.5,units,,,,,River/Stream,0
16124,110119-001,6/1/2011,Total Kjeldahl Nitrogen,0.173,ppm,,,,,River/Stream,0
16124,110119-001,6/1/2011,Total Nitrogen,0.221,ppm,,,,,River/Stream,0
16124,110119-001,6/1/2011,Total Solids,128,ppm,,,,,River/Stream,0
16124,110119-001,6/1/2011,Total Suspended Solids,14,ppm,,,,,River/Stream,0
16124,110119-001,6/1/2011,Turbidity,2.3,None,,,,,River/Stream,0
16124,110119-001,6/1/2011,Alkalinity,66,ppm,,,,,River/Stream,0
16124,110119-001,6/1/2011,Total Phosphorus,0.019,ppm,,,,,River/Stream,0
16124,110119-001,6/1/2011,Chloride,3.4,ppm,,,,,River/Stream,0
16527,110119-002,6/1/2011,Total Solids,104,ppm,,,,,River/Stream,0
16527,110119-002,6/1/2011,Total Suspended Solids,11,ppm,,,,,River/Stream,0
16527,110119-002,6/1/2011,Total Phosphorus,0.014,ppm,,,,,River/Stream,0
16527,110119-002,6/1/2011,Total Nitrogen,0.184,ppm,,,,,River/Stream,0
