sta_seq,name,ylat,xlong,Strahler,HydroID,StrMi,SqMi,SqKm,Chg,DrainID,SHAPE_Leng,SHAPE_Area,FNODE_,TNODE_,LPOLY_,RPOLY_,HSI_State_,NHDRCH_,NHDRCH_ID,FLOW,Enabled,checked,Div,ICCnt,ICSum,POTW,IC_Avg,SD_Pct,Q99,DIV_CFS,POTW_CFS,DivQ99,POTWQ99,DamStrMi,ICMetric,DIVMetric,DAMMetric,STPMetric,SumMetric,HSI
15100,Spruce Swamp Creek,41.981954,-73.416555,3,103003782,19.83,10.317294663,26.722,0,103003782,15060.000782,5273999.70262,3509,3595,1,1,3427.68479213,3502,16993,0,1,0,0.44,30296,21785,0,0.71907182466,26.0975086829,0.77163376149,0.680780606,0,0.8822587087,0,0.05042864347,1,2,2,1,6,2
15044,Kent Falls Brook,41.7769,-73.4192,3,103007507,16.236956472,5.472758243,14.174,0,103007507,5579.9971892,375299.639741,7409,7395,1,1,533.249053398,7227,12978,0,1,0,0,16597,5031,0,0.30312707116,6.23880509808,0.17379961468,0,0,0,0,0.06158789683,1,1,2,1,5,1
15580,Town Farm Brook,41.5648,-73.3936,3,103013254,5.35,2.57,6.656,0,103013254,25139.9987434,20328299.4465,13061,13487,1,1,7631.76176341,13198,7121,0,1,0,0,7602,25596,0,3.36700868193,0.07536908171,0.00750657852,0,0,0,0,0.18691588785,2,1,3,1,7,2
15997,Town Farm Brook,41.5562,-73.3912,3,103013254,5.35,2.57,6.656,0,103013254,25139.9987434,20328299.4465,13061,13487,1,1,7631.76176341,13198,7121,0,1,0,0,7602,25596,0,3.36700868193,0.07536908171,0.00750657852,0,0,0,0,0.18691588785,2,1,3,1,7,2
14227,Hemp Swamp Brook,41.4294,-73.0766,3,103016019,6.22,2.53451963,6.564,0,103016019,13020.0002681,3806099.67685,16181,16208,142,142,2104.50752305,15907,3920,0,1,0,0,7611,17219,0,2.26238339246,9.58449842032,0.08473956332,0,0,0,0,0.8038585209,2,1,3,1,7,2
14439,Salmon Creek (Salmon Kill),41.9337,-73.3908,4,103004077,66.346826686,31.7229881164,82.162,0,103004077,22499.997717,10557899.7048,4156,4259,1,1,5730.59148774,4133,16310,0,1,0,4.58,93558,89978,0.67,0.96173496655,9.21846476356,1.78655675643,7.086307217,1.0366431955,3.9664607304,0.58024643873,0.09043386549,1,3,2,2,8,2
18476,Webatuck Creek,41.880463,-73.49701,4,103005092,53.696098811,33.8112241367,87.571,0,103005092,17100.0012959,8455500.06951,4751,4889,1,1,4864.72916,4756,15696,0,1,0,0,98653,128286,0,1.3003760656,8.25429490088,1.82584765726,0,0,0,0,0,1,1,1,1,4,1
14341,Naugatuck River,41.7891,-73.1145,5,103007276,132.363146426,50.5840960541,131.012,0,103007276,15000.000526,5914799.70382,7022,7191,1,1,2962.24710259,6996,13365,0,1,0,0,152494,780027,0,5.11513239865,3.26717459629,1.86694704232,0,0,0,0,0.10576962227,3,1,3,1,8,2
15581,Pond Brook,41.4597,-73.3275,4,103015303,39.492740252,12.260835531,31.755,0,103015303,4500.00077219,473399.709042,15525,15534,1,1,913.421530191,15247,4606,0,1,0,0,37548,168312,0,4.48258229466,7.20692090409,0.49764628347,0,0,0,0,0,2,1,1,1,5,1
14688,Blackberry River,42.0284,-73.3394,4,103003349,91.640505002,44.2693620567,114.657,0,103003349,17039.9969439,6155999.76571,3135,3120,1,1,1685.20340419,3069,17409,0,1,0,2.07,131715,175424,0.75,1.33184527199,8.07787034837,2.50518273497,3.2027633055,1.1604214875,1.2784549649,0.46320832062,0.08729764202,1,3,2,2,8,2
15531,Leadmine Brook,41.7164,-73.0604,4,103009658,64.851886441,22.0623192865,57.141,0,103009658,25620.0007919,15651900.2672,9289,9586,1,1,5213.13262832,9378,11031,0,1,0,0.19,67396,208933,0,3.10008012345,3.47942717142,0.70369478725,0.2939734435,0,0.41775702879,0,0.06167900765,2,2,2,1,7,2
16254,Shepaug River,41.6568,-73.318,6,103010896,258.928757409,92.1389270427,238.639,0,103010896,25260.0013035,20876399.4552,10489,10798,142,1,8879.1891052,10560,9799,0,1,0,61.49,280019,316379,0.8,1.12984833172,3.83085663395,4.18925284798,95.1390896885,1.23778292,22.7102763048,0.29546627165,0.03862066192,1,3,2,2,8,2
14488,West Aspetuck River,41.604889,-73.428789,3,103012465,55.090642321,24.4611880134,63.354,0,103012465,34559.9979842,25266600.6768,12258,12604,1,1,8823.45044579,12353,7967,0,1,0,0,72616,48972,0,0.67439682715,2.844340195,0.72064452128,0,0,0,0,0.03630380616,1,1,2,1,5,1
14223,Hancock Brook,41.5885,-73.0503,3,103012486,34.566853352,13.319695272,34.498,0,103012486,16379.9982233,4140899.64675,12521,12642,1,1,2252.66610353,12374,7701,0,1,0,0,40378,140606,0,3.48224280549,7.91239199793,0.57680119682,0,0,0,0,0.14464724194,2,1,3,1,7,2
14348,Naugatuck River,41.7631,-73.1173,5,103007994,142.315861339,53.7427517767,139.193,0,103007994,5459.99872509,1122299.87153,7829,7911,1,1,1064.4692614,7714,12535,0,1,0,0,162135,847879,7,5.22946310174,3.48330474503,2.07530768554,0,10.83060055,0,5.21879267613,0.09837273139,3,1,2,3,9,3
15253,West Branch Bantam River,41.758,-73.1861,4,103008170,24.93469371,8.0105991606,20.747,0,103008170,13080.0025722,4930199.8095,7757,8086,1,1,4874.74731994,7890,12612,0,1,0,0,24542,30447,0,1.24060793741,0.1723891602,0.04527617619,0,0,0,0,0,1,1,1,1,4,1
17181,WEST BRANCH BANTAM RIVER,41.7628,-73.1897,4,103008170,24.93469371,8.0105991606,20.747,0,103008170,13080.0025722,4930199.8095,7757,8086,1,1,4874.74731994,7890,12612,0,1,0,0,24542,30447,0,1.24060793741,0.1723891602,0.04527617619,0,0,0,0,0,1,1,1,1,4,1
