STA_SEQ,Station_Name,Proximity_Landmark,Municipality_Name,ADB_SegmentID,YLat,XLong,sbas_no
14126,Aspetuck River,Downstream Bayberry Lane,WESTPORT,CT7202-00_01,41.1864,-73.3429,7202
14127,Bantam River,upstream Morris Hill Road/Stoddard Road,LITCHFIELD,CT6705-00_02,41.7122,-73.2457,6705
14128,Bantam River,downstream Smokey Hollow Road,MORRIS,CT6705-00_01,41.6884,-73.2668,6705
14129,Beacon Hill Brook,at Andrasko Road,BEACON FALLS,CT6918-00_01,41.4684,-73.0501,6918
14130,Beaver Pond Brook,upstream Harper Ferry Road,WATERBURY,NOSEG,41.5393,-73.0077,6913
14131,Belcher Brook,upstream Elizabeth Road,BERLIN,CT4601-00_01,41.5932,-72.7662,4601
14132,Blackberry River,upstream Route 44 Bridge,NORTH CANAAN,CT6100-00_02a,42.0236,-73.341,6100
14133,Blackberry River,upstream POTW effluent,NORFOLK,CT6100-00_05,42.0007,-73.2184,6100
14134,Blackberry River,downstream 50ft POTW effluent,NORFOLK,CT6100-00_04,42.0009,-73.2193,6100
14135,Blackberry River,downstream 75ft POTW effluent,NORFOLK,CT6100-00_04,42.0009,-73.2196,6100
14136,Blackberry River,downstream 200ft POTW effluent,NORFOLK,CT6100-00_04,42.0012,-73.2204,6100
14137,Blackledge River,US Confluence with Lyman Brook,MARLBOROUGH,CT4707-00_01,41.6084,-72.4263,4707
14138,Bladens River (Bladdens River),under Route 8 & Route 67 junction,SEYMOUR,CT6919-00_01,41.3972,-73.0718,6919
14139,Bladens River (Bladdens River),downstream North Road/Pearl St.,SEYMOUR,CT6919-00_01,41.3958,-73.0608,6919
14140,Bolton Notch Pond,In Bolton Notch Pond,BOLTON,NOSEG,41.7894,-72.4525,4503
14141,Bonemill Brook,upstream 100 m Sweetheart Lake,TOLLAND,CT3100-03_02,41.9249,-72.3162,3100
14142,Bonemill Brook,between Plains Road and RR crossing,TOLLAND,CT3100-03_01,41.9272,-72.3069,3100
14143,Branch Brook,upstream Route 8 pipe,THOMASTON,CT6910-00_01,41.648,-73.0822,6910
14144,Branch Brook,downstream Route 8 pipe,THOMASTON,CT6910-00_01,41.6478,-73.0814,6910
14145,Branch Brook,downstream POTW near mouth,WATERTOWN,CT6910-00_01,41.6434,-73.081,6910
14146,Branford River,downstream bridge off Valley Road,NORTH BRANFORD,CT5111-00_02,41.3072,-72.7648,5111
14147,Broad Brook,upstream USGS gage at Route 191,EAST WINDSOR,CT4206-00_01,41.9147,-72.549,4206
14148,Bunnell Brook,upstream 500 meters USGS gage,BURLINGTON,CT4311-00_01,41.7846,-72.9657,4311
14149,Byram River,downstream Bedford Road,GREENWICH,CT7411-00_02,41.094506,-73.704449,7411
14150,Byram River,downstream Comley Avenue,GREENWICH,CT7411-00_01,41.0276,-73.6621,7411
14151,Cedar Swamp Brook,upstream Porter Pond Road,STERLING,NOSEG,41.6731,-71.8274,3500
14152,Clarke Brook,adjacent Route 195,TOLLAND,NOSEG,41.8447,-72.3248,3100
14153,Coginchaug River,downstream Route 66,MIDDLETOWN,CT4607-00_03,41.5547,-72.6737,4607
14154,Community Lake,upstream Hall Avenue,WALLINGFORD,CT5200-00_02,41.4625,-72.8302,5200
14155,Compounce Mountain Brook,at end of Dirt road for reservoir access,WOLCOTT,NOSEG,41.6206,-72.9353,5201
14156,Comstock Brook,upstream wooden footbridge in town park,WILTON,CT7301-00_01,41.1961,-73.4354,7301
14157,Cooper Pond Brook,downstream plaza entrance bridge,RIDGEFIELD,CT7300-07_01,41.2677,-73.4422,7300
14158,Coppermine Brook,upstream West Washington Street,BRISTOL,CT4314-00_01,41.6777,-72.9077,4314
14159,Copps Brook,downstream Mystic Reservoir (Palmer Reservoir),STONINGTON,CT2102-00_01,41.3645,-71.9351,2102
14160,Copps Brook,in effluent channel upstream of Copps Brook confluence (jerry brown road),STONINGTON,CT2102-00_01-INTO,41.3649,-71.9344,2102
14161,Copps Brook,downstream effluent channel,STONINGTON,CT2102-00_01,41.3641,-71.9347,2102
14162,Copps Brook,upstream second driveway upstream of Quiambog Cove,STONINGTON,CT2102-00_01,41.3611,-71.9341,2102
14163,Copps Brook tributary to,downstream Mistuxet Road and Cove Road intersection,STONINGTON,CT2102-00-trib_01,41.3615,-71.9369,2102
14164,Copps Brook,upstream of first driveway off Cove Road Just above Quiambog Cove,STONINGTON,CT2102-00_01,41.3571,-71.9363,2102
14165,Crooked Brook,downstream Orchard Road,BERLIN,CT4601-01_03,41.595,-72.7791,4601
14166,Deep Brook,upstream RR bridge,NEWTOWN,CT6019-00_01,41.404,-73.294,6019
14167,Deep Brook,opposite upper POTW,NEWTOWN,CT6019-00_01,41.4081,-73.2865,6019
14168,Deep Brook,downstream bridge crossing at former stp outfall,NEWTOWN,CT6019-00_01,41.4096,-73.2855,6019
14169,Deep Brook,downstream opposite from effluent,NEWTOWN,CT6019-00_01,41.4096,-73.2855,6019
14170,Deep Brook,downstream outfall,NEWTOWN,CT6019-00_01,41.4101,-73.2851,6019
14171,Deep Brook,upstream tributary,NEWTOWN,CT6019-00_01,41.4115,-73.2848,6019
14172,Deep Brook,upstream mouth near Pootatuck River,NEWTOWN,CT6019-00_01,41.4131,-73.2823,6019
14173,Dickinson Creek,at dirt road off Islieb Street,MARLBOROUGH,NOSEG,41.6642,-72.4843,4708
14174,East Branch Eightmile River,100 meters upstream Mouth downstream Route 156,LYME,CT4802-00_01,41.4309,-72.3375,4802
14175,East Branch Naugatuck River,adjacent to Newfield Road at old RR tressel,TORRINGTON,CT6905-00_02,41.8203,-73.1232,6905
14176,East Branch Naugatuck River,upstream Route 4,TORRINGTON,CT6905-00_02,41.8122,-73.1221,6905
14177,East Branch Naugatuck River,downstream Main Street,TORRINGTON,CT6905-00_01,41.8107,-73.1216,6905
14178,East Branch Naugatuck River,upstream East Pearl Street,TORRINGTON,CT6905-00_01,41.8061,-73.1184,6905
14179,East Branch Naugatuck River,downstream Franklin Drive,TORRINGTON,CT6905-00_01,41.797345,-73.115842,6905
14180,Crystal Lake,at deepest part of lake,MIDDLETOWN,UNKNOWN,41.524,-72.639,4013
14181,East Aspetuck River,upstream Waramug treatment plant off Flirtation Ave,WASHINGTON,CT6502-00_03,41.6823,-73.3539,6502
14182,East Aspetuck River,downstream Waramug treatment plant off Flirtation Ave,WASHINGTON,CT6502-00_03,41.6817,-73.354,6502
14183,East Aspetuck River,upstream Wellsville Road,NEW MILFORD,CT6502-00_02,41.5979,-73.4152,6502
14184,East Swamp Brook,downstream Plumtrees Road,BETHEL,NOSEG,41.3859,-73.3984,6605
14185,Echo Lake Brook,upstream Echo Lake,WATERTOWN,NOSEG,41.6046,-73.0971,6912
14186,Eightmile Brook,upstream Loughlin Road,OXFORD,CT6023-00_01,41.3885,-73.1648,6023
14187,Eightmile River,downstream Route 156 upstream confluence,LYME,CT4800-00_01,41.4312,-72.3376,4800
14188,Eightmile River,downstream Marion Avenue,SOUTHINGTON,CT5201-00_01,41.588,-72.8977,5201
14189,Eightmile River,downstream Jude Lane,SOUTHINGTON,CT5201-00_01,41.6066,-72.9042,5201
14190,Eightmile River,downstream Welch Road,SOUTHINGTON,CT5201-00_02,41.6334,-72.9176,5201
14191,Factory Brook,upstream R.R. crossing,SALISBURY,CT6005-00_02,41.9639,-73.4396,6005
14192,Factory Brook,downstream 50-350 feet discharge POTW,SALISBURY,CT6005-00_01,41.967,-73.4264,6005
14193,Farm River,downstream Route 22 at Masonic Temple,NORTH BRANFORD,CT5112-00_03,41.3818,-72.7941,5112
14194,Farm River,downstream Totoket Road,NORTH BRANFORD,CT5112-00_02,41.3331,-72.8153,5112
14195,Farmill River,upstream Route 110,STRATFORD,CT6025-00_02,41.2591,-73.0979,6025
14196,Farmill River,downstream Route 8 at old bridge,SHELTON,CT6025-00_02,41.273,-73.1129,6025
14197,FARMINGTON RIVER,adjacent Route 4 at Apricots Restaurant,FARMINGTON,CT4300-00_03,41.7508,-72.8717,4300
14198,FARMINGTON RIVER,upstream Old Farms Road,AVON,CT4300-00_02,41.7723,-72.822,4300
14199,Fenton River,adjacent Daleville Road,WILLINGTON,CT3207-00_02,41.863,-72.2402,3207
14200,Fenton River,downstream Route 44,WILLINGTON,CT3207-00_02,41.8727,-72.2416,3207
14201,Five Mile River,downstream Lakeview Avenue,NEW CANAAN,CT7401-00_03,41.1418,-73.4833,7401
14202,Five Mile River,under Old Norwalk Road,NEW CANAAN,CT7401-00_02,41.1365,-73.4793,7401
14203,Five Mile River,upstream East Street (Route 106),NEW CANAAN,CT7401-00_03,41.1478,-73.4835,7401
14204,Fivemile River,downstream Route 101,KILLINGLY,CT3400-00_02,41.846,-71.8902,3400
14205,Fivemile River,downstream 500 meters Route 101,KILLINGLY,CT3400-00_02,41.8451,-71.8912,3400
14206,French River,adjacent Route 12,THOMPSON,CT3300-00_01,41.9548,-71.884,3300
14207,French River,upstream Langers Pond,THOMPSON,CT3300-00_02,42.0248,-71.8843,3300
14208,French River,at RR bridge adjacent to Reardon Road,THOMPSON,CT3300-00_01,41.9735,-71.8998,3300
14209,Fulling Mill Brook,upstream North Main Street,NAUGATUCK,CT6915-00_01,41.5021,-73.0471,6915
14210,Fulling Mill Brook,downstream Maple Hill Road,NAUGATUCK,NOSEG,41.5048,-73.0232,6915
14211,Fulling Mill Brook,upstream Maple Hill Road,NAUGATUCK,NOSEG,41.5048,-73.0222,6915
14212,Fulling Mill Brook,across Spring Lake Road (Union City Road) & Route 68,NAUGATUCK,CT6915-00_01,41.5056,-73.0315,6915
14213,Furnace Brook,downstream Riverside Pond,STAFFORD,CT3103-00_02,41.9854,-72.2902,3103
14214,Furnace Brook,upstream Orcuttville Road,STAFFORD,CT3103-00_02,41.9841,-72.2947,3103
14215,Furnace Brook,downstream Glenville Pond,STAFFORD,CT3103-00_02,41.9679,-72.2979,3103
14216,Great Brook,at mouth (off West Liberty St.),WATERBURY,CT6900-22_01,41.547,-73.0423,6900
14217,Gulf Stream,downstream Park Ave at Mouth,TORRINGTON,NOSEG,41.7909,-73.1177,6900
14218,Hamlin Pond,adjacent Woodford Avenue,PLAINVILLE,NOSEG,41.6711,-72.847,5200
14219,Hammonasset River,at Old County Road,KILLINGWORTH,CT5106-00_02,41.4125,-72.6328,5106
14220,Hammonasset River,upstream Bunnell Road,KILLINGWORTH,CT5106-00_02,41.3882,-72.6149,5106
14221,Hammonasset River,Adjacent Summer Hill Road (US Chestnut Hill Rd),MADISON,CT5106-00_01,41.3278,-72.6116,5106
14222,Hancock Brook,near Mouth upstream RR bridge,WATERBURY,CT6911-00_01,41.5799,-73.0497,6911
14223,Hancock Brook,downstream Bridge in Waterville Park,WATERBURY,CT6911-00_01,41.5885,-73.0503,6911
14224,Hanover Pond,adjacent Oregon Road,MERIDEN,CT5200-00-4-L2_01,41.5236,-72.8342,5200
14225,Hanover Pond,adjacent Hanover Street,MERIDEN,CT5200-00-4-L2_01,41.521,-72.8257,5200
14226,Harbor Brook,upstream Coe Road,MERIDEN,CT5206-00_01,41.5314,-72.8218,5206
14227,Hemp Swamp Brook,downstream Emmissons testing Road,BEACON FALLS,NOSEG,41.4294,-73.0766,6900
14228,Hersig Brook,adjacent Korn School,DURHAM,CT4605-01,41.4777,-72.672,4605
14229,Hockanum Brook,Bethany Road,BEACON FALLS,CT6900-28_01,41.4373,-73.051,6900
14230,Hockanum Brook,upstream South Main Street Near JCT Route 42,BEACON FALLS,CT6900-28_01,41.4366,-73.0593,6900
14231,Hockanum River,In Lake,EAST HARTFORD,CT4500-00_01,41.7662,-72.6392,4500
14232,Hockanum River,In Lake,EAST HARTFORD,CT4500-00_01,41.7666,-72.635,4500
14233,Hockanum River,In Lake Union Pond,MANCHESTER,CT4500-00-3-L3_01,41.8051,-72.5219,4500
14234,Hockanum River,In lake Scotland Impoundment,EAST HARTFORD,CT4500-00_02,41.7759,-72.6027,4500
14235,Hockanum River,downstream Walnut Street,EAST HARTFORD,CT4500-00_02,41.7822,-72.5912,4500
14236,Hockanum River,downstream Vernon Avenue,VERNON,CT4500-00_06b,41.8647,-72.4517,4500
14237,Hockanum River,downstream New State Street,MANCHESTER,CT4500-00_03,41.7859,-72.5569,4500
14238,Hockanum River,upstream Lower Butcher Road,ELLINGTON,CT4500-00_06a,41.8758,-72.4743,4500
14239,Hockanum River,upstream Vernon STP,VERNON,CT4500-00_06a,41.8659,-72.487,4500
14240,Hockanum River,upstream Werner Road,VERNON,CT4500-00_05,41.8585,-72.4916,4500
14241,Hockanum River,upstream Dart Hill Road,VERNON,CT4500-00_05,41.8503,-72.4878,4500
14242,Hockanum River,upstream 100 meters confluence with Tankerhoosen River,VERNON,CT4500-00_04b,41.8195,-72.5035,4500
14243,Hockanum River,adjacent Route 83,MANCHESTER,CT4500-00_04a,41.8107,-72.5176,4500
14244,Hockanum River,upstream Adams Street,MANCHESTER,CT4500-00_03,41.7883,-72.5503,4500
14245,Hockanum River,at USGS gage upstream of Walnut Street,EAST HARTFORD,CT4500-00_02,41.7822,-72.5916,4500
14246,Hollenbeck River,at Route 126 & R.R tracks,CANAAN,CT6200-00_01,41.9756,-73.3572,6200
14247,Hollenbeck River,at Cobble Road,CANAAN,CT6200-00_01,41.9431,-73.3058,6200
14248,Hop Brook,at RR bridge Naug Glass,NAUGATUCK,CT6916-00_01,41.4987,-73.0537,6916
14249,South Fork Hockanum River,at Olcott Road,MANCHESTER,CT4504-00_01,41.773,-72.5569,4504
14250,South Fork Hockanum River,upstream discharge POTW Rd,MANCHESTER,CT4504-00_01,41.7767,-72.5612,4504
14251,Housatonic River,at dirt road North of Route 128,CORNWALL,CT6000-00_06,41.8806,-73.3654,6000
14252,Housatonic River,upstream 0.25 miles Housatonic Meadows State Park,CORNWALL,CT6000-00_06,41.828,-73.3815,6000
14253,Pickerel Lake,at deepest part of lake,COLCHESTER,UNKNOWN,41.5257,-72.4203,4710
14254,Housatonic River,North 1.5 miles Route 128,CORNWALL,CT6000-00_06,41.8906,-73.3576,6000
14255,Housatonic River,adjacent thru corn field,SALISBURY,CT6000-00_06,41.9554,-73.3696,6000
14256,Hubbard Brook,upstream 200 meters Route 2 West crossing,GLASTONBURY,CT4007-00_01,41.7082,-72.5803,4007
14257,Hubbard Brook,downstream 50 meters Route 2 East crossing,GLASTONBURY,CT4007-00_01,41.7089,-72.5843,4007
14258,Hubbard Brook Wetland tributary to,in outlet 10 m upstream Route 2 West crossing,GLASTONBURY,CT4007-00_01,41.7097,-72.5828,4007
14259,Humiston Brook,Off Dirt road  East County Road,WOLCOTT,NOSEG,41.5938,-72.9519,5202
14260,Jeremy River,downstream Route 149,COLCHESTER,CT4705-00_01,41.5799,-72.4028,4705
14261,Kahn Brook,upstream Koskoff Farm,BOZRAH,CT3900-07_02,41.5791,-72.1661,3900
14262,Kahn Brook,downstream Farm Buildings,BOZRAH,CT3900-07_01,41.5718,-72.1685,3900
14263,Kahn Brook,upstream Schwartz Road,BOZRAH,CT3900-07_01,41.5681,-72.1702,3900
14264,Ketch Brook,upstream landfill downstream dam adjacent to Wapping Road,EAST WINDSOR,NOSEG,41.8893,-72.5398,4207
14265,Ketch Brook,at East Road,EAST WINDSOR,NOSEG,41.8788,-72.5202,4207
14266,Pecks Brook,at East Road,EAST WINDSOR,NOSEG,41.8843,-72.5204,4207
14267,Ketch Brook,downstream RR bridge,EAST WINDSOR,NOSEG,41.8862,-72.5523,4207
14268,Ketch Brook,upstream RR crossing and upstream of Landfill Seep,EAST WINDSOR,NOSEG,41.8862,-72.5479,4207
14269,Ketch Brook,upstream RR crossing and downstream of Landfill Seep,EAST WINDSOR,NOSEG,41.8859,-72.549,4207
