,sta_seq,lab_accession,collect_date,chemparameter,value,uom,station_type,duplicates
1,16124,110119-001,6/1/2011,Magnesium,7240,ppb,River/Stream,0
2,16124,110119-001,6/1/2011,Nitrate/Nitrite,0.048,ppm,River/Stream,0
3,16124,110119-001,6/1/2011,Nitrite,0.003,ppm,River/Stream,0
4,16124,110119-001,6/1/2011,Nitrate,0.045,ppm,River/Stream,0
5,16124,110119-001,6/1/2011,Ammonia,0.004,ppm,River/Stream,0
6,16124,110119-001,6/1/2011,Calcium,17300,ppb,River/Stream,0
7,16124,110119-001,6/1/2011,Hardness,72.9,ppm,River/Stream,0
8,16124,110119-001,6/1/2011,Organic Nitrogen,0.169,ppm,River/Stream,0
9,16124,110119-001,6/1/2011,Ortho Phosphate,0.007,ppm,River/Stream,0
10,16124,110119-001,6/1/2011,pH,7.5,units,River/Stream,0
11,16124,110119-001,6/1/2011,Total Kjeldahl Nitrogen,0.173,ppm,River/Stream,0
12,16124,110119-001,6/1/2011,Total Nitrogen,0.221,ppm,River/Stream,0
13,16124,110119-001,6/1/2011,Total Solids,128,ppm,River/Stream,0
14,16124,110119-001,6/1/2011,Total Suspended Solids,14,ppm,River/Stream,0
15,16124,110119-001,6/1/2011,Turbidity,2.3,None,River/Stream,0
16,16124,110119-001,6/1/2011,Alkalinity,66,ppm,River/Stream,0
17,16124,110119-001,6/1/2011,Total Phosphorus,0.019,ppm,River/Stream,0
18,16124,110119-001,6/1/2011,Chloride,3.4,ppm,River/Stream,0
19,16527,110119-002,6/1/2011,Total Solids,104,ppm,River/Stream,0
20,16527,110119-002,6/1/2011,Total Suspended Solids,11,ppm,River/Stream,0
21,16527,110119-002,6/1/2011,Total Phosphorus,0.014,ppm,River/Stream,0
22,16527,110119-002,6/1/2011,Total Nitrogen,0.184,ppm,River/Stream,0
23,16527,110119-002,6/1/2011,Total Kjeldahl Nitrogen,0.144,ppm,River/Stream,0
24,16527,110119-002,6/1/2011,pH,7.5,units,River/Stream,0
25,16527,110119-002,6/1/2011,Ortho Phosphate,0.002,ppm,River/Stream,0
26,16527,110119-002,6/1/2011,Organic Nitrogen,0.144,ppm,River/Stream,0
27,16527,110119-002,6/1/2011,Nitrite,0.003,ppm,River/Stream,0
28,16527,110119-002,6/1/2011,Alkalinity,64,ppm,River/Stream,0
29,16527,110119-002,6/1/2011,Nitrate,0.04,ppm,River/Stream,0
30,16527,110119-002,6/1/2011,Magnesium,7320,ppb,River/Stream,0
31,16527,110119-002,6/1/2011,Hardness,71.1,ppm,River/Stream,0
32,16527,110119-002,6/1/2011,Chloride,1,ppm,River/Stream,0
33,16527,110119-002,6/1/2011,Calcium,16400,ppb,River/Stream,0
34,16527,110119-002,6/1/2011,Ammonia,0.003,ppm,River/Stream,0
35,16527,110119-002,6/1/2011,Turbidity,1.8,None,River/Stream,0
36,16527,110119-002,6/1/2011,Nitrate/Nitrite,0.04,ppm,River/Stream,0
37,16127,110119-003,6/1/2011,pH,7.3,units,River/Stream,0
38,16127,110119-003,6/1/2011,Magnesium,3770,ppb,River/Stream,0
39,16127,110119-003,6/1/2011,Hardness,36.2,ppm,River/Stream,0
40,16127,110119-003,6/1/2011,Nitrate/Nitrite,0.029,ppm,River/Stream,0
41,16127,110119-003,6/1/2011,Organic Nitrogen,0.106,ppm,River/Stream,0
